from,to,relation
scf,bl,3
scf1,burg,1
scf3,rma,1
scf5,tsgj,1
scf7,scfj,1
scf8,svwj,1
scf9,blum,1
scf11,have,1
scf14,scfj,1
scf17,bonn,1
scf18,czj,1
scf22,pus,1
scf23,scfj,1
scf25,met,1
scf26,aaa,1
scf27,scfj,1
scf28,scfj,1
scf29,fcbj,1
scf30,scfj,1
scf32,ksc,1
scf33,scfj,1
scf38,svka,1
scf42,gamb,1
scf1,scf,2
scf3,scf,2
scf5,scf,2
scf7,scf,2
scf8,scf,2
scf9,scf,2
scf11,scf,2
scf14,scf,2
scf17,scf,2
scf18,scf,2
scf22,scf,2
scf23,scf,2
scf25,scf,2
scf26,scf,2
scf27,scf,2
scf28,scf,2
scf29,scf,2
scf30,scf,2
scf32,scf,2
scf33,scf,2
scf38,scf,2
scf42,scf,2