id,name,type,club,youth,debut,nation,peakvalue
aaa,Alemannia Aachen,2,,,,GER,
aar,FC Aarau,2,,,,SUI,
aja,Ajax Amsterdam,2,,,,NED,
alk,AZ Alkmaar,2,,,,NED,
and,RSC Anderlecht,2,,,,BEL,
ange,Angelholm,2,,,,SWE,
anne,Patroge Saint Anne,2,,,,COG,
ars,FC Arsenal,2,,,,ENG,
asco,Angers SCO,2,,,,FRA,
asec,ASEC Mimosas,2,,,,CIV,
asm,AS Monaco,2,,,,FRA,
asse,AS St Etienne,2,,,,FRA,
atm,Atletico Madrid,2,,,,ESP,
atpr,Athletico Paranese,2,,,,BRA,
atro,Atromitos Athen,2,,,,GRE,
auer,SV Auersmacher,2,,,,GER,
aux,AJ Auxerre,2,,,,FRA,
awie,Austria Wien,2,,,,AUT,
bama,JMG Academy Bamako,2,,,,MAL,
bar,FC Barcelona,2,,,,ESP,
bas,FC Basel,2,,,,SUI,
beif,Benlose IF,2,,,,DEN,
ben,Benfica Lissabon,2,,,,POR,
bir,Birmingham City,2,,,,ENG,
bl,Bundesliga,3,,,,,
blum,Blumentaler SV,2,,,,GER,
bmg,Borussia Moenchengladbach,2,,,,GER,
bmg1,Jonas Omlin,1,bmg,luz,luz,,D
bmg10,Marcus Thuram,1,bmg,soc,soc,,I
bmg11,Hannes Wolf,1,bmg,rbs,rbs,,E
bmg13,Lars Stindl,1,bmg,ksc,ksc,,F
bmg14,Alassane Plea,1,bmg,ol,ol,,I
bmg17,Manu Kone,1,bmg,tou,tou,,G
bmg18,Stefan Lainer,1,bmg,rbs,rbs,,F
bmg19,Nathan Ngoumou,1,bmg,tou,tou,,C
bmg20,Luca Netz,1,bmg,bscj,bsc,,C
bmg21,Tobias Sippel,1,bmg,fck,fck,,B
bmg23,Jonas Hofmann,1,bmg,tsgj,bvb,,F
bmg24,Tony Jantschke,1,bmg,bmgj,bmg,,D
bmg25,Ramy Bensebaini,1,bmg,pac,pac,,G
bmg29,Joe Scally,1,bmg,nyfc,nyfc,,E
bmg3,Ko Itakura,1,bmg,kaw,kaw,,E
bmg30,Nico Elvedi,1,bmg,fcz,fcz,,I
bmg32,Florian Neuhaus,1,bmg,mu60,mu60,,I
bmg34,Conor Noss,1,bmg,bmgj,bmg,,A
bmg38,Yvandro Borges Sanches,1,bmg,bmgj,bmg,,A
bmg4,Mamadou Doucoure,1,bmg,psg,bmg,,A
bmg41,Jan Olschowsky,1,bmg,bmgj,bmg,,A
bmg5,Marvin Friedrich,1,bmg,gelj,gel,,D
bmg6,Christoph Kramer,1,bmg,levj,boc,,E
bmg7,Patrick Herrmann,1,bmg,bmgj,bmg,,E
bmg8,Julian Weigl,1,bmg,mu60,mu60,,H
bmgj,Gladbach Jugend,2,,,,GER,
boc,VfL Bochum,2,,,,GER,
boc1,Manuel Riemann,1,boc,burg,burg,,A
boc10,Philipp Foerster,1,boc,vfbj,svs,,B
boc11,Takuma Asano,1,boc,yok,sanf,,B
boc16,Konstantinos Stafylidis,1,boc,paok,paok,,B
boc17,Gerrit Holtmann,1,boc,svwj,ebs,,B
boc18,Jordi Osei Tutu,1,boc,ars,boc,,A
boc2,Cristian Gamboa,1,boc,mli,mli,,A
boc20,Ivan Ordets,1,boc,shak,shak,,B
boc21,Michael Esser,1,boc,habi,boc,,A
boc22,Christopher Antwi Adjei,1,boc,hern,scp,,A
boc23,Saidy Janko,1,boc,manu,bolt,,B
boc24,Vasilios Lampropoulos,1,boc,olpi,apo,,A
boc28,Pierre Kunde,1,boc,atm,gran,,D
boc29,Moritz Broschinski,1,boc,cott,boc,,A
boc3,Danilo Soares,1,boc,lust,lust,,A
boc30,Dominique Heintz,1,boc,fck,fck,,D
boc31,Keven Schlotterbeck,1,boc,kirc,scf,,D
boc33,Philipp Hofmann,1,boc,gelj,scp,,B
boc35,Silvere Ganvoula,1,boc,anne,raja,,B
boc4,Erhan Masovic,1,boc,cuk,cuk,,B
boc5,Jacek Goralski,1,boc,zaw,wis,,B
boc6,Patrick Osterhage,1,boc,bvbj,boc,,A
boc7,Kevin Stoeger,1,boc,vfbj,fck,,C
boc8,Anthony Losilla,1,boc,asse,fcc,,A
boc9,Simon Zoller,1,boc,ksc,ksc,,B
bocj,VfL Bochum Jugend,2,,,,GER,
bonn,Bonner SC,2,,,,GER,
brab,Brabrand IF,2,,,,DEN,
bro,Broendby IF,2,,,,DEN,
brue,FC Bruegge,2,,,,BEL,
bsc,Hertha BSC Berlin,2,,,,GER,
bsc1,Oliver Christensen,1,bsc,obk,obk,,B
bsc10,Jean Paul Boetius,1,bsc,feye,feye,,C
bsc14,Dodi Lukebakio,1,bsc,and,and,,G
bsc16,Jonjoe Kenny,1,bsc,eve,eve,,E
bsc17,Maximilian Mittelstaedt,1,bsc,bscj,bsc,,E
bsc18,Wilfried Kanga,1,bsc,psg,asco,,B
bsc19,Stefan Jovetic,1,bsc,part,part,,H
bsc2,Peter Pekarik,1,bsc,dubn,dubn,,B
bsc20,Marc Oliver Kempf,1,bsc,sgej,sge,,D
bsc21,Marvin Plattenhardt,1,bsc,fcn,fcn,,F
bsc23,Marco Richter,1,bsc,fcaj,fca,,D
bsc24,Jessic Ngankam,1,bsc,bscj,bsc,,A
bsc27,Kevin Prince Boateng,1,bsc,bscj,bsc,,G
bsc29,Lucas Tousart,1,bsc,vafc,vafc,,G
bsc3,Augustin Rogel,1,bsc,naci,naci,,B
bsc31,Marton Dardai,1,bsc,bscj,bsc,,C
bsc34,Ivan Sunjic,1,bsc,zag,zag,,C
bsc39,Derry Scherhant,1,bsc,bscj,bsc,,A
bsc40,Chidera Ejuke,1,bsc,suco,gomb,,D
bsc42,Julian Eitschberger,1,bsc,bscj,bsc,,A
bsc5,Filip Uremovic,1,bsc,cib,cib,,C
bsc6,Tolga Cigerci,1,bsc,wobj,wob,,B
bsc7,Florian Niederlechner,1,bsc,eber,uha,,D
bsc8,Suat Serdar,1,bsc,fsvj,fsv,,G
bscj,Hertha BSC Jugend,2,,,,GER,
burg,Wacker Burghausen,2,,,,GER,
bvb,Borussia Dortmund,2,,,,GER,
bvb1,Gregor Kobel,1,bvb,gcz,tsg,,G
bvb11,Marco Reus,1,bvb,rwa,rwa,,J
bvb13,Raphael Guerreiro,1,bvb,caen,caen,,I
bvb14,Nico Schulz,1,bvb,bscj,bsc,,G
bvb15,Mats Hummels,1,bvb,fcbj,bvb,,K
bvb17,Marius Wolf,1,bvb,mu60,mu60,,D
bvb18,Youssoufa Moukoko,1,bvb,bvbj,bvb,,H
bvb19,Julian Brandt,1,bvb,wobj,lev,,J
bvb2,Mateu Morey,1,bvb,bar,bvb,,C
bvb20,Anthony Modeste,1,bvb,niz,niz,,F
bvb21,Donyell Malen,1,bvb,ars,psv,,H
bvb22,Jude Bellingham,1,bvb,bir,bir,,L
bvb23,Emre Can,1,bvb,fcbj,fcb,,I
bvb24,Thomas Meunier,1,bvb,rev,rev,,I
bvb25,Niklas Suele,1,bvb,tsgj,tsg,,K
bvb26,Julian Ryerson,1,bvb,vik,vik,,C
bvb27,Karim Adeyemi,1,bvb,uha,rbs,,I
bvb30,Felix Passlack,1,bvb,bvbj,bvb,,B
bvb33,Alexander Meyer,1,bvb,hsv,cott,,A
bvb35,Marcel Lotka,1,bvb,levj,bsc,,A
bvb36,Tom Rothe,1,bvb,bvbj,bvb,,B
bvb4,Nico Schlotterbeck,1,bvb,scfj,scf,,I
bvb43,Jamie Bynoe Gittens,1,bvb,bvbj,bvb,,D
bvb47,Antonios Papadopoulos,1,bvb,vfra,vfra,,A
bvb6,Salih Oezcan,1,bvb,koej,koe,,F
bvb7,Giovanni Reyna,1,bvb,nyfc,bvb,,J
bvb8,Mahmoud Dahoud,1,bvb,bmgj,bmg,,F
bvb9,Sebastien Haller,1,bvb,aux,aux,,J
bvbj,Borussia Dortmund Jugend,2,,,,GER,
cac,CA Colon,2,,,,ARG,
caen,SM Caen,2,,,,FRA,
cal,Deportivo Cali,2,,,,ESP,
cco,Central Coast,2,,,,AUS,
cfc,Chelsea London,2,,,,ENG,
cib,Cibalia,2,,,,CRO,
cob,Cobreloa,2,,,,CHI,
cott,Energie Cottbus,2,,,,GER,
cuk,FK Cukaricki,2,,,,SRB,
czj,FC Carl Zeiss Jena,2,,,,GER,
dcu,DC United,2,,,,USA,
der,Derby County,2,,,,ENG,
dubn,FK Dubnica,2,,,,SVK,
duis,MSV Duisburg,2,,,,GER,
eber,TSV Ebersberg,2,,,,GER,
ebs,Eintracht Braunschweig,2,,,,GER,
espb,Espanyol Barcelona,2,,,,ESP,
eve,FC Everton,2,,,,ENG,
fca,FC Augsburg,2,,,,GER,
fca1,Rafal Gikiewicz,1,fca,ols,wig,,A
fca10,Arne Maier,1,fca,bscj,bsc,,G
fca11,Mergim Berisha,1,fca,rbs,rbs,,D
fca13,Elvis Rexhbecaj,1,fca,wobj,wob,,D
fca14,Julian Baumgartlinger,1,fca,mu60,mu60,,C
fca16,Ruben Vargas,1,fca,luz,luz,,E
fca17,Noah Sarenren Bazee,1,fca,han,han,,A
fca19,Felix Udokhai,1,fca,mu60,mu60,,F
fca2,Robert Gumny,1,fca,lech,lech,,B
fca20,Daniel Caligiuri,1,fca,scfj,scf,,C
fca22,Iago,1,fca,inte,inte,,C
fca23,Maximilian Bauer,1,fca,fur,fur,,B
fca24,Fredrik Jensen,1,fca,twen,twen,,B
fca27,Arne Engels,1,fca,brue,brue,,A
fca28,Andre Hahn,1,fca,hsv,off,,D
fca3,Mads Pedersen,1,fca,fcno,fcno,,B
fca30,Niklas Dorsch,1,fca,fcbj,fcb,,D
fca38,David Colina,1,fca,asm,spli,,A
fca39,Benjamin Leneis,1,fca,fcaj,fca,,A
fca4,Reece Oxford,1,fca,whu,whu,,E
fca40,Tomas Koubek,1,fca,kral,kral,,C
fca42,Aaron Zehnter,1,fca,fcaj,fca,,A
fca45,Kelvin Yeboah,1,fca,goz,graz,,C
fca48,Irvin Cardona,1,fca,asm,cerc,,D
fca5,Tobias Strobl,1,fca,mu60,koe,,D
fca6,Jeffrey Gouweleeuw,1,fca,hee,hee,,E
fca7,Dion Beljo,1,fca,cib,cib,,C
fca8,Renato Veiga,1,fca,spo,fca,,A
fca9,Ermedin Demirovic,1,fca,rblj,ala,,E
fcaj,FC Augsburg Jugend,2,,,,GER,
fcb,FC Bayern München,2,,,,GER,
fcb1,Manuel Neuer,1,fcb,gelj,gel,,J
fcb10,Leroy Sane,1,fcb,gelj,gel,,L
fcb11,Kingsley Coman,1,fcb,psg,psg,,L
fcb13,Eric Maxim Choupo Moting,1,fcb,hsv,hsv,,D
fcb14,Paul Wanner,1,fcb,fcb,fcb,,B
fcb17,Sadio Mane,1,fcb,foot,foot,,L
fcb19,Alphonso Davies,1,fcb,vanw,vanw,,L
fcb2,Dayot Upamecano,1,fcb,vafc,rbs,,K
fcb20,Bouna Sarr,1,fcb,met,met,,D
fcb21,Lucas Hernandez,1,fcb,atm,atm,,L
fcb22,Joao Cancelo,1,fcb,ben,ben,,L
fcb23,Daley Blind,1,fcb,aja,aja,,G
fcb25,Thomas Mueller,1,fcb,fcbj,fcb,,L
fcb26,Sven Ulreich,1,fcb,vfbj,vfb,,D
fcb27,Yann Sommer,1,fcb,bas,bas,,E
fcb38,Ryan Gravenberch,1,fcb,aja,aja,,I
fcb39,Mathys Tel,1,fcb,ren,ren,,F
fcb4,Mathijs de Ligt,1,fcb,aja,aja,,L
fcb40,Noussair Mazraoui,1,fcb,aja,aja,,H
fcb42,Jamal Musiala,1,fcb,fcbj,fcb,,L
fcb44,Josip Stanisic,1,fcb,fcbj,fcb,,D
fcb5,Benjamin Pavard,1,fcb,lil,lil,,J
fcb6,Joshua Kimmich,1,fcb,vfbj,rbl,,L
fcb7,Serge Gnabry,1,fcb,ars,ars,,L
fcb8,Leon Goretzka,1,fcb,bocj,boc,,L
fcbj,FC Bayern Jugend,2,,,,GER,
fck,1 FC Kaiserslautern,2,,,,GER,
fcn,1 FC Nuernberg,2,,,,GER,
fcno,FC Nordsjaelland,2,,,,DEN,
fcsi,FC Sion,2,,,,SUI,
fcu,1 FC Union Berlin,2,,,,GER,
fcu1,Frederik Roennow,1,fcu,hors,hors,,B
fcu11,Sven Michel,1,fcu,nied,cott,,A
fcu13,Andras Schaefer,1,fcu,mtk,mtk,,B
fcu14,Paul Seguin,1,fcu,wobj,wob,,A
fcu16,Tim Maciejewski,1,fcu,fcuj,fcu,,A
fcu17,Kevin Behrens,1,fcu,svwj,aaa,,A
fcu18,Josip Juranovic,1,fcu,nkd,spli,,D
fcu19,Jannik Haberer,1,fcu,uha,uha,,D
fcu2,Morten Thorsby,1,fcu,stab,stab,,C
fcu20,Aissa Laidouni,1,fcu,asco,fcv,,B
fcu23,Niko Giesselmann,1,fcu,han,han,,B
fcu25,Timo Baumgartl,1,fcu,vfbj,vfb,,E
fcu26,Jerome Rousillon,1,fcu,soc,soc,,F
fcu27,Sheraldo Becker,1,fcu,aja,aja,,E
fcu28,Christopher Trimmel,1,fcu,hori,rwie,,A
fcu3,Paul Jaeckel,1,fcu,wobj,wob,,C
fcu30,Kevin Moehwald,1,fcu,rwer,rwer,,B
fcu31,Robin Knoche,1,fcu,wobj,wob,,E
fcu32,Milos Pantovic,1,fcu,fcbj,boc,,A
fcu37,Lennart Grill,1,fcu,fck,fck,,A
fcu4,Diogo Leite,1,fcu,prt,prt,,D
fcu40,Jamie Leweling,1,fcu,fur,fur,,B
fcu45,Jordan Siebatcheu,1,fcu,reim,reim,,D
fcu5,Danilho Doekhi,1,fcu,aja,vit,,B
fcu7,Levin Oeztunali,1,fcu,hsv,lev,,C
fcu8,Rani Khedira,1,fcu,vfbj,vfb,,D
fcuj,Union Berlin Jugend,2,,,,GER,
fcz,FC Zuerich,2,,,,SUI,
fen,Fenerbahce Istanbul,2,,,,TUR,
feye,Feyenoord Rotterdam,2,,,,NED,
fhs,Fujieda Highschool,2,,,,JAP,
foot,Generation Foot,2,,,,SEN,
for,Fortuna Duesseldorf,2,,,,GER,
fsv,FSV Mainz 05,2,,,,GER,
fsv1,Finn Dahmen,1,fsv,fsvj,,,A
fsv11,Marcus Ingvartsen,1,fsv,fcno,,,B
fsv16,Stefan Bell,1,fsv,fsvj,,,C
fsv17,Ludovic Ajourque,1,fsv,asco,,,F
fsv19,Anthony Caci,1,fsv,stra,,,C
fsv20,Edmilson Fernandes,1,fsv,fcsi,,,D
fsv21,Danny da Costa,1,fsv,levj,,,E
fsv25,Andreas Hanche Olsen,1,fsv,stab,,,B
fsv27,Robin Zentner,1,fsv,fsvj,,,B
fsv29,Jonathan Burkardt,1,fsv,fsvj,,,F
fsv3,Aaron Martin,1,fsv,espb,,,F
fsv30,Silvan Widmer,1,fsv,aar,,,D
fsv31,Dominik Kohr,1,fsv,levj,,,D
fsv36,Marlon Mustapha,1,fsv,fsvj,,,A
fsv37,Delano Burgzorg,1,fsv,graa,,,A
fsv4,Aymen Barkok,1,fsv,sgej,,,B
fsv42,Alexander Hack,1,fsv,mu60,,,B
fsv43,Brajan Gruda,1,fsv,fsvj,,,A
fsv44,Nelson Weiper,1,fsv,fsvj,,,A
fsv5,Maxim Leitsch,1,fsv,bocj,,,B
fsv6,Anton Stach,1,fsv,osna,,,E
fsv7,Jae Sung Lee,1,fsv,kun,,,B
fsv8,Leandro Barreiro,1,fsv,fsvj,,,E
fsv9,Karim Onisiwo,1,fsv,twl,,,B
fsvj,FSV Mainz Jugend,2,,,,GER,
ful,FC Fulham,2,,,,ENG,
fur,Greuther Fuerth,2,,,,GER,
gala,Galatasaray Istanbul,2,,,,TUR,
gamb,Gamba Osaka,2,,,,JAP,
gcz,Grasshoppers Zuerich,2,,,,SUI,
gel,FC Schalke 04,2,,,,GER,
gel1,Ralf Faehrmann,1,gel,gelj,gel,,E
gel10,Rodrigo Zalazar,1,gel,mala,kiel,,B
gel11,Marius Buelter,1,gel,muns,fcm,,B
gel13,Alexander Schwolow,1,gel,scfj,scf,,D
gel15,Timothee Kolodziejczak,1,gel,len,ol,,C
gel18,Jere Uronen,1,gel,tps,tps,,B
gel19,Kenan Karaman,1,gel,tsgj,tsg,,B
gel2,Thomas Ouwejan,1,gel,alk,alk,,B
gel20,Tim Skarke,1,gel,heid,heid,,A
gel21,Niklas Tauer,1,gel,fsvj,fsv,,A
gel23,Mehmet Aydin,1,gel,gelj,gel,,B
gel24,Dominick Drexler,1,gel,levj,rwer,,B
gel25,Moritz Jenz,1,gel,ful,lau,,B
gel26,Michael Frey,1,gel,ybb,ybb,,C
gel27,Cedric Brunner,1,gel,fcz,fcz,,B
gel29,Tobias Mohr,1,gel,aaa,fur,,A
gel3,Leo Greiml,1,gel,stpo,rwie,,B
gel30,Alex Kral,1,gel,slpr,tep,,D
gel33,Eder Balanta,1,gel,rivp,rivp,,C
gel34,Michael Langer,1,gel,vfbj,vfb,,A
gel35,Marcin Kaminski,1,gel,lech,lech,,B
gel37,Andreas Ivan,1,gel,stk,stk,,A
gel38,Siochiro Kozuki,1,gel,sang,sang,,A
gel4,Maya Yoshida,1,gel,nag,nag,,C
gel40,Sebastian Polter,1,gel,wobj,wob,,A
gel41,Henning Matriciani,1,gel,lipp,gel,,A
gel5,Sepp van den Berg,1,gel,zwo,zwo,,C
gel6,Tom Krauss,1,gel,rblj,rbl,,C
gel8,Danny Latza,1,gel,gelj,gel,,C
gel9,Simon Terodde,1,gel,duis,duis,,B
gelj,FC Schalke 04 Jugend,2,,,,GER,
goz,Gozzano,2,,,,ITA,
graa,De Graafschap Doetinchem,2,,,,NED,
graz,Sturm Graz,2,,,,AUT,
habi,VfB Habinghorst,2,,,,GER,
han,Hannover 96,2,,,,GER,
have,TSV Havelse,2,,,,GER,
hee,SC Heerenveen,2,,,,NED,
heid,1 FC Heidenheim,2,,,,GER,
hern,Westfalia Herne,2,,,,GER,
hhs,Higashiyama Highschool,2,,,,JAP,
hoed,IL Hoedd,2,,,,NOR,
hori,ASK Horitschon,2,,,,AUT,
hors,AC Horsens,2,,,,DEN,
hro,Hansa Rostock,2,,,,GER,
hsv,Hamburger SV,2,,,,GER,
ind,Indepidiente del Valle,2,,,,ECU,
inte,Internacional Porto Alegre,2,,,,BRA,
iwa,Jubilo Iwata,2,,,,JAP,
kaw,Kawasaki Frontale,2,,,,JAP,
kirc,VfL Kirchheim,2,,,,GER,
koe,1. FC Koeln,2,,,,GER,
koe1,Timo Horn,1,koe,koej,koe,,E
koe11,Florian Kainz,1,koe,graz,graz,,B
koe13,Marc Uth,1,koe,koej,hee,,G
koe14,Jonas Hector,1,koe,auer,koe,,F
koe15,Luca Kilian,1,koe,bvbj,scp,,B
koe17,Kingsley Schindler,1,koe,han,hol,,B
koe19,Dimitrios Limnios,1,koe,atro,atro,,B
koe2,Benno Schmitz,1,koe,fcbj,rbs,,B
koe20,Marvin Schwaebe,1,koe,sgej,osna,,B
koe21,Steffen Tigges,1,koe,osna,osna,,B
koe23,Sargis Adamyan,1,koe,hro,hro,,B
